caller_rva,caller_type,caller_signature,caller_native_file,ghidra_call_target,callee_rva,callee_name_candidates,callee_alias_count,callee_selected_type,callee_selected_signature,callee_native_status,call_occurrences_in_pseudocode
0x162B7EC,SummerWatermelonModel,public static SummerWatermelonModel get_Instance() { },code/Ghidra_native_pseudocode/162b7ec.c,0x164254C,0x163254C,Activity.SummerWatermelon_32.SummerWatermelonModel$$.ctor,1,SummerWatermelonModel,public void .ctor() { },decompiled_rebased_without_autoanalysis,1
0x162B8D0,SummerWatermelonModel,public void UpdateTime() { },code/Ghidra_native_pseudocode/162b8d0.c,0x1644390,0x1634390,Activity.SummerWatermelon_32.SummerWatermelonModel$$IsOpened,1,SummerWatermelonModel,public bool IsOpened(bool hasLog = False) { },decompiled_rebased_without_autoanalysis,1
0x162B8D0,SummerWatermelonModel,public void UpdateTime() { },code/Ghidra_native_pseudocode/162b8d0.c,0x1647054,0x1637054,Activity.SummerWatermelon_32.SummerWatermelonModel$$EndActivity,1,SummerWatermelonModel,public void EndActivity() { },decompiled_rebased_without_autoanalysis,1
0x162B8D0,SummerWatermelonModel,public void UpdateTime() { },code/Ghidra_native_pseudocode/162b8d0.c,0x16470AC,0x16370AC,Activity.SummerWatermelon_32.SummerWatermelonModel$$StartActivity,1,SummerWatermelonModel,public void StartActivity() { },decompiled_rebased_without_autoanalysis,1
0x162BB3C,SummerWatermelonModel,public bool get_IsStart() { },code/Ghidra_native_pseudocode/162bb3c.c,0x1642704,0x1632704,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,1
0x162BB3C,SummerWatermelonModel,public bool get_IsStart() { },code/Ghidra_native_pseudocode/162bb3c.c,0x1644390,0x1634390,Activity.SummerWatermelon_32.SummerWatermelonModel$$IsOpened,1,SummerWatermelonModel,public bool IsOpened(bool hasLog = False) { },decompiled_rebased_without_autoanalysis,1
0x162CAD8,SummerWatermelonModel,public bool CanShowBattlePass() { },code/Ghidra_native_pseudocode/162cad8.c,0x1642704,0x1632704,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,3
0x162CAD8,SummerWatermelonModel,public bool CanShowBattlePass() { },code/Ghidra_native_pseudocode/162cad8.c,0x1644390,0x1634390,Activity.SummerWatermelon_32.SummerWatermelonModel$$IsOpened,1,SummerWatermelonModel,public bool IsOpened(bool hasLog = False) { },decompiled_rebased_without_autoanalysis,1
0x162CBD0,SummerWatermelonModel,public int GetBattlePassRedPointNum() { },code/Ghidra_native_pseudocode/162cbd0.c,0x164D8F8,0x163D8F8,Activity.SummerWatermelon_32.SummerWatermelonModel$$UpdateBattlePassRedPoint,1,SummerWatermelonModel,public void UpdateBattlePassRedPoint() { },decompiled_rebased_without_autoanalysis,1
0x162D2A0,SummerWatermelonModel,public SummerWatermelonThirtyTwoPackageConfig GetCurrentPackage() { },code/Ghidra_native_pseudocode/162d2a0.c,0x1642218,0x1632218,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_PackageConfig,1,SummerWatermelonModel,public List<SummerWatermelonThirtyTwoPackageConfig> get_PackageConfig() { },decompiled_tailcall_override,2
0x162D2A0,SummerWatermelonModel,public SummerWatermelonThirtyTwoPackageConfig GetCurrentPackage() { },code/Ghidra_native_pseudocode/162d2a0.c,0x1642704,0x1632704,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,7
0x162D2A0,SummerWatermelonModel,public SummerWatermelonThirtyTwoPackageConfig GetCurrentPackage() { },code/Ghidra_native_pseudocode/162d2a0.c,0x164F094,0x163F094,Activity.SummerWatermelon_32.SummerWatermelonModel$$RefreshNexTime,1,SummerWatermelonModel,private void RefreshNexTime(ulong endTime) { },decompiled_rebased_without_autoanalysis,1
0x162D2A0,SummerWatermelonModel,public SummerWatermelonThirtyTwoPackageConfig GetCurrentPackage() { },code/Ghidra_native_pseudocode/162d2a0.c,0x164F324,0x163F324,Activity.SummerWatermelon_32.SummerWatermelonModel$$GetShopId,1,SummerWatermelonModel,private int GetShopId() { },decompiled_rebased_without_autoanalysis,1
0x162D2A0,SummerWatermelonModel,public SummerWatermelonThirtyTwoPackageConfig GetCurrentPackage() { },code/Ghidra_native_pseudocode/162d2a0.c,0x164F4A4,0x163F4A4,Activity.SummerWatermelon_32.SummerWatermelonModel$$IsPackageOpened,1,SummerWatermelonModel,public bool IsPackageOpened(SummerWatermelonThirtyTwoPackageConfig config) { },decompiled_rebased_without_autoanalysis,1
0x162D720,SummerWatermelonModel,public string GetPackageLeftTimeText(SummerWatermelonThirtyTwoPackageConfig curPackage) { },code/Ghidra_native_pseudocode/162d720.c,0x164F998,0x163F998,Activity.SummerWatermelon_32.SummerWatermelonModel$$GetPackageLeftTime,1,SummerWatermelonModel,public ulong GetPackageLeftTime(SummerWatermelonThirtyTwoPackageConfig curPackage) { },decompiled_rebased_without_autoanalysis,1
0x162DD70,SummerWatermelonModel,public bool CanShowNewPackageGift() { },code/Ghidra_native_pseudocode/162dd70.c,0x1642704,0x1632704,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,1
0x162DD70,SummerWatermelonModel,public bool CanShowNewPackageGift() { },code/Ghidra_native_pseudocode/162dd70.c,0x164FAD8,0x163FAD8,Activity.SummerWatermelon_32.SummerWatermelonModel$$GetNewPackageLeftTime,1,SummerWatermelonModel,public ulong GetNewPackageLeftTime() { },decompiled_rebased_without_autoanalysis,1
0x162DF58,SummerWatermelonModel,public string GetNewPackageLeftTimeText() { },code/Ghidra_native_pseudocode/162df58.c,0x164FAD8,0x163FAD8,Activity.SummerWatermelon_32.SummerWatermelonModel$$GetNewPackageLeftTime,1,SummerWatermelonModel,public ulong GetNewPackageLeftTime() { },decompiled_rebased_without_autoanalysis,1
0x162FA00,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/162fa00.c,0x163FEF0,0x162FEF0,Activity.SummerWatermelon_32.SummerWatermelonModel$$GetRewardsOnMerge,1,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },decompiled_rebased_without_autoanalysis,1
0x162FA00,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/162fa00.c,0x1640304,0x1630304,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_UnSetRewards,1,SummerWatermelonModel,public StorageList<int> get_UnSetRewards() { },decompiled_rebased_without_autoanalysis,1
0x162FA00,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/162fa00.c,0x1640370,0x1630370,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_MainView,1,SummerWatermelonModel,public static UIPopupSummerWatermelonMainController get_MainView() { },decompiled_rebased_without_autoanalysis,1
0x162FA00,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/162fa00.c,0x2BD2CF0,0x2BC2CF0,MergeManager$$SetNewBoardItem,1,MergeManager,"public void SetNewBoardItem(int index, int id, int state, RefreshItemSource source, MergeBoardEnum boardId, int oldIndex = -1, bool isDispatchEvent = True, int oldId = -1, int existTime = 0) { }",decompiled_rebased_without_autoanalysis,1
0x162FA00,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/162fa00.c,0x2BDD790,0x2BCD790,MergeManager$$FindEmptyGrid,1,MergeManager,"public int FindEmptyGrid(int index, MergeBoardEnum boardId, bool ignoreSelf = False) { }",decompiled_rebased_without_autoanalysis,1
0x162FA00,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/162fa00.c,0x2E651CC,0x2E551CC,Gameplay.UserData$$IsResource,1,UserData,public bool IsResource(int resourceId) { },decompiled_rebased_without_autoanalysis,1
0x162FEF0,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/162fef0.c,0x1642704,0x1632704,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,2
0x162FEF0,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/162fef0.c,0x1642F18,0x1632F18,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyTwoConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,2
0x162FEF0,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/162fef0.c,0x1643B98,0x1633B98,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_SummerWatermelonMergeRewardConfig,1,SummerWatermelonModel,"public Dictionary<int, SummerWatermelonThirtyTwoMergeRewardConfig> get_SummerWatermelonMergeRewardConfig() { }",decompiled_rebased_without_autoanalysis,1
0x162FEF0,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/162fef0.c,0x1644390,0x1634390,Activity.SummerWatermelon_32.SummerWatermelonModel$$IsOpened,1,SummerWatermelonModel,public bool IsOpened(bool hasLog = False) { },decompiled_rebased_without_autoanalysis,1
0x162FEF0,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/162fef0.c,0x26CF4EC,0x26BF4EC,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_BiMaxMergeItemLevel,1,StorageSummerWatermelonFifteen,public void set_BiMaxMergeItemLevel(int value) { },decompiled_rebased_without_autoanalysis,1
0x1630304,SummerWatermelonModel,public StorageList<int> get_UnSetRewards() { },code/Ghidra_native_pseudocode/1630304.c,0x1642704,0x1632704,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,1
0x16304C4,SummerWatermelonMergeBoard1,"public override void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",code/Ghidra_native_pseudocode/16304c4.c,0x164062C,0x163062C,Activity.SummerWatermelon_32.SummerWatermelonModel$$OnNewItem,1,SummerWatermelonModel,"public void OnNewItem(int id, RefreshItemSource source, Vector3 startPos) { }",decompiled_rebased_without_autoanalysis,1
0x16304C4,SummerWatermelonMergeBoard1,"public override void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",code/Ghidra_native_pseudocode/16304c4.c,0x2BED744,0x2BDD744,MergeBoard$$IndexToPosition,1,MergeBoard,public Vector3 IndexToPosition(int index) { },decompiled_rebased_without_autoanalysis,1
0x163077C,SummerWatermelonMergeBoard1,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/163077c.c,0x1642F18,0x1632F18,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyTwoConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,1
0x163077C,SummerWatermelonMergeBoard1,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/163077c.c,0x1644324,0x1634324,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_UnCollectRewards,1,SummerWatermelonModel,"public StorageDictionary<int, int> get_UnCollectRewards() { }",decompiled_rebased_without_autoanalysis,4
0x163077C,SummerWatermelonMergeBoard1,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/163077c.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x163077C,SummerWatermelonMergeBoard1,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/163077c.c,0x2BF1544,0x2BE1544,MergeBoard$$OnUseItem,1,MergeBoard,"public virtual void OnUseItem(int index, int id) { }",decompiled_rebased_without_autoanalysis,1
0x1630870,SummerWatermelonModel,public void OnUseItem(int id) { },code/Ghidra_native_pseudocode/1630870.c,0x1642F18,0x1632F18,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyTwoConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,1
0x1630870,SummerWatermelonModel,public void OnUseItem(int id) { },code/Ghidra_native_pseudocode/1630870.c,0x1644324,0x1634324,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_UnCollectRewards,1,SummerWatermelonModel,"public StorageDictionary<int, int> get_UnCollectRewards() { }",decompiled_rebased_without_autoanalysis,4
0x1630870,SummerWatermelonModel,public void OnUseItem(int id) { },code/Ghidra_native_pseudocode/1630870.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x16309B4,SummerWatermelonMergeBoard1,"public TableMergeItem <>iFixBaseProxy_MergeToProductActivity(int P0, TableMergeItem P1, TableMergeItem P2) { }",code/Ghidra_native_pseudocode/16309b4.c,0x2BFBE7C,0x2BEBE7C,MergeBoard$$MergeToProductActivity,1,MergeBoard,"public virtual TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",decompiled_rebased_without_autoanalysis,1
0x16309D0,SummerWatermelonMergeBoard1,"public void <>iFixBaseProxy_OnNewItem(int P0, int P1, int P2, int P3, RefreshItemSource P4) { }",code/Ghidra_native_pseudocode/16309d0.c,0x2BF15AC,0x2BE15AC,MergeBoard$$OnNewItem,1,MergeBoard,"public virtual void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",decompiled_rebased_without_autoanalysis,1
0x1630A60,SummerWatermelonMergeBoard2,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1630a60.c,0x2BD2CF0,0x2BC2CF0,MergeManager$$SetNewBoardItem,1,MergeManager,"public void SetNewBoardItem(int index, int id, int state, RefreshItemSource source, MergeBoardEnum boardId, int oldIndex = -1, bool isDispatchEvent = True, int oldId = -1, int existTime = 0) { }",decompiled_rebased_without_autoanalysis,1
0x1630A60,SummerWatermelonMergeBoard2,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1630a60.c,0x2BDD790,0x2BCD790,MergeManager$$FindEmptyGrid,1,MergeManager,"public int FindEmptyGrid(int index, MergeBoardEnum boardId, bool ignoreSelf = False) { }",decompiled_rebased_without_autoanalysis,1
0x1630A60,SummerWatermelonMergeBoard2,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1630a60.c,0x2E651CC,0x2E551CC,Gameplay.UserData$$IsResource,1,UserData,public bool IsResource(int resourceId) { },decompiled_rebased_without_autoanalysis,1
0x1630F50,SummerWatermelonMergeBoard2,"public override void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",code/Ghidra_native_pseudocode/1630f50.c,0x2BED744,0x2BDD744,MergeBoard$$IndexToPosition,1,MergeBoard,public Vector3 IndexToPosition(int index) { },decompiled_rebased_without_autoanalysis,1
0x16310B8,SummerWatermelonMergeBoard2,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16310b8.c,0x1642F18,0x1632F18,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyTwoConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,1
0x16310B8,SummerWatermelonMergeBoard2,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16310b8.c,0x1644324,0x1634324,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_UnCollectRewards,1,SummerWatermelonModel,"public StorageDictionary<int, int> get_UnCollectRewards() { }",decompiled_rebased_without_autoanalysis,4
0x16310B8,SummerWatermelonMergeBoard2,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16310b8.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x16310B8,SummerWatermelonMergeBoard2,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16310b8.c,0x2BF1544,0x2BE1544,MergeBoard$$OnUseItem,1,MergeBoard,"public virtual void OnUseItem(int index, int id) { }",decompiled_rebased_without_autoanalysis,1
0x16311BC,SummerWatermelonMergeBoard2,"public TableMergeItem <>iFixBaseProxy_MergeToProductActivity(int P0, TableMergeItem P1, TableMergeItem P2) { }",code/Ghidra_native_pseudocode/16311bc.c,0x2BFBE7C,0x2BEBE7C,MergeBoard$$MergeToProductActivity,1,MergeBoard,"public virtual TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",decompiled_rebased_without_autoanalysis,1
0x16311D8,SummerWatermelonMergeBoard2,"public void <>iFixBaseProxy_OnNewItem(int P0, int P1, int P2, int P3, RefreshItemSource P4) { }",code/Ghidra_native_pseudocode/16311d8.c,0x2BF15AC,0x2BE15AC,MergeBoard$$OnNewItem,1,MergeBoard,"public virtual void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",decompiled_rebased_without_autoanalysis,1
0x1631268,SummerWatermelonMergeBoard3,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1631268.c,0x2BD2CF0,0x2BC2CF0,MergeManager$$SetNewBoardItem,1,MergeManager,"public void SetNewBoardItem(int index, int id, int state, RefreshItemSource source, MergeBoardEnum boardId, int oldIndex = -1, bool isDispatchEvent = True, int oldId = -1, int existTime = 0) { }",decompiled_rebased_without_autoanalysis,1
0x1631268,SummerWatermelonMergeBoard3,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1631268.c,0x2BDD790,0x2BCD790,MergeManager$$FindEmptyGrid,1,MergeManager,"public int FindEmptyGrid(int index, MergeBoardEnum boardId, bool ignoreSelf = False) { }",decompiled_rebased_without_autoanalysis,1
0x1631268,SummerWatermelonMergeBoard3,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1631268.c,0x2E651CC,0x2E551CC,Gameplay.UserData$$IsResource,1,UserData,public bool IsResource(int resourceId) { },decompiled_rebased_without_autoanalysis,1
0x1631758,SummerWatermelonMergeBoard3,"public override void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",code/Ghidra_native_pseudocode/1631758.c,0x2BED744,0x2BDD744,MergeBoard$$IndexToPosition,1,MergeBoard,public Vector3 IndexToPosition(int index) { },decompiled_rebased_without_autoanalysis,1
0x16318C0,SummerWatermelonMergeBoard3,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16318c0.c,0x1642F18,0x1632F18,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyTwoConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,1
0x16318C0,SummerWatermelonMergeBoard3,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16318c0.c,0x1644324,0x1634324,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_UnCollectRewards,1,SummerWatermelonModel,"public StorageDictionary<int, int> get_UnCollectRewards() { }",decompiled_rebased_without_autoanalysis,4
0x16318C0,SummerWatermelonMergeBoard3,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16318c0.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x16318C0,SummerWatermelonMergeBoard3,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16318c0.c,0x2BF1544,0x2BE1544,MergeBoard$$OnUseItem,1,MergeBoard,"public virtual void OnUseItem(int index, int id) { }",decompiled_rebased_without_autoanalysis,1
0x16319C4,SummerWatermelonMergeBoard3,"public TableMergeItem <>iFixBaseProxy_MergeToProductActivity(int P0, TableMergeItem P1, TableMergeItem P2) { }",code/Ghidra_native_pseudocode/16319c4.c,0x2BFBE7C,0x2BEBE7C,MergeBoard$$MergeToProductActivity,1,MergeBoard,"public virtual TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",decompiled_rebased_without_autoanalysis,1
0x16319E0,SummerWatermelonMergeBoard3,"public void <>iFixBaseProxy_OnNewItem(int P0, int P1, int P2, int P3, RefreshItemSource P4) { }",code/Ghidra_native_pseudocode/16319e0.c,0x2BF15AC,0x2BE15AC,MergeBoard$$OnNewItem,1,MergeBoard,"public virtual void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",decompiled_rebased_without_autoanalysis,1
0x1631A70,SummerWatermelonMergeBoard4,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1631a70.c,0x2BD2CF0,0x2BC2CF0,MergeManager$$SetNewBoardItem,1,MergeManager,"public void SetNewBoardItem(int index, int id, int state, RefreshItemSource source, MergeBoardEnum boardId, int oldIndex = -1, bool isDispatchEvent = True, int oldId = -1, int existTime = 0) { }",decompiled_rebased_without_autoanalysis,1
0x1631A70,SummerWatermelonMergeBoard4,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1631a70.c,0x2BDD790,0x2BCD790,MergeManager$$FindEmptyGrid,1,MergeManager,"public int FindEmptyGrid(int index, MergeBoardEnum boardId, bool ignoreSelf = False) { }",decompiled_rebased_without_autoanalysis,1
0x1631A70,SummerWatermelonMergeBoard4,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/1631a70.c,0x2E651CC,0x2E551CC,Gameplay.UserData$$IsResource,1,UserData,public bool IsResource(int resourceId) { },decompiled_rebased_without_autoanalysis,1
0x1631F60,SummerWatermelonMergeBoard4,"public override void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",code/Ghidra_native_pseudocode/1631f60.c,0x2BED744,0x2BDD744,MergeBoard$$IndexToPosition,1,MergeBoard,public Vector3 IndexToPosition(int index) { },decompiled_rebased_without_autoanalysis,1
0x16320C8,SummerWatermelonMergeBoard4,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16320c8.c,0x1642F18,0x1632F18,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyTwoConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,1
0x16320C8,SummerWatermelonMergeBoard4,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16320c8.c,0x1644324,0x1634324,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_UnCollectRewards,1,SummerWatermelonModel,"public StorageDictionary<int, int> get_UnCollectRewards() { }",decompiled_rebased_without_autoanalysis,4
0x16320C8,SummerWatermelonMergeBoard4,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16320c8.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x16320C8,SummerWatermelonMergeBoard4,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/16320c8.c,0x2BF1544,0x2BE1544,MergeBoard$$OnUseItem,1,MergeBoard,"public virtual void OnUseItem(int index, int id) { }",decompiled_rebased_without_autoanalysis,1
0x16321CC,SummerWatermelonMergeBoard4,"public TableMergeItem <>iFixBaseProxy_MergeToProductActivity(int P0, TableMergeItem P1, TableMergeItem P2) { }",code/Ghidra_native_pseudocode/16321cc.c,0x2BFBE7C,0x2BEBE7C,MergeBoard$$MergeToProductActivity,1,MergeBoard,"public virtual TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",decompiled_rebased_without_autoanalysis,1
0x16321E8,SummerWatermelonMergeBoard4,"public void <>iFixBaseProxy_OnNewItem(int P0, int P1, int P2, int P3, RefreshItemSource P4) { }",code/Ghidra_native_pseudocode/16321e8.c,0x2BF15AC,0x2BE15AC,MergeBoard$$OnNewItem,1,MergeBoard,"public virtual void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",decompiled_rebased_without_autoanalysis,1
0x1632704,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },code/Ghidra_native_pseudocode/1632704.c,0x1642EB0,0x1632EB0,Activity.SummerWatermelon_32.SummerWatermelonModel$$ResetIllustrated,1,SummerWatermelonModel,public void ResetIllustrated() { },decompiled_rebased_without_autoanalysis,1
0x1632704,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },code/Ghidra_native_pseudocode/1632704.c,0x1642F18,0x1632F18,Activity.SummerWatermelon_32.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyTwoConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,4
0x1632704,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },code/Ghidra_native_pseudocode/1632704.c,0x1643050,0x1633050,Activity.SummerWatermelon_32.SummerWatermelonModel$$GetMergeItemConfig,1,SummerWatermelonModel,public TableMergeItem GetMergeItemConfig(int level) { },decompiled_rebased_without_autoanalysis,1
0x1632704,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },code/Ghidra_native_pseudocode/1632704.c,0x164310C,0x163310C,Activity.SummerWatermelon_32.SummerWatermelonModel$$AddBattlePassConfig,1,SummerWatermelonModel,private void AddBattlePassConfig() { },decompiled_rebased_without_autoanalysis,1
